6,6,Index_56,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site56_X_117_Y_130_1981_2021.csv
7,6,Index_57,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site57_X_144_Y_130_1981_2021.csv
8,6,Index_58,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site58_X_170_Y_130_1981_2021.csv
10,6,Index_59,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site59_X_197_Y_130_1981_2021.csv
11,6,Index_60,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site60_X_224_Y_130_1981_2021.csv
13,6,Index_61,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site61_X_250_Y_130_1981_2021.csv
14,6,Index_62,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site62_X_277_Y_130_1981_2021.csv
16,6,Index_63,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site63_X_304_Y_130_1981_2021.csv
17,6,Index_64,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site64_X_330_Y_130_1981_2021.csv
0,8,Index_65,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site65_X_10_Y_157_1981_2021.csv
1,8,Index_66,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site66_X_37_Y_157_1981_2021.csv
3,8,Index_67,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site67_X_64_Y_157_1981_2021.csv
4,8,Index_68,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site68_X_90_Y_157_1981_2021.csv
6,8,Index_69,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site69_X_117_Y_157_1981_2021.csv
7,8,Index_70,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site70_X_144_Y_157_1981_2021.csv
8,8,Index_71,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site71_X_170_Y_157_1981_2021.csv
10,8,Index_72,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site72_X_197_Y_157_1981_2021.csv
